Time,Area ID,Area Name,Data Value,Subgroup,,,,
2000,LACLCA,Saint Lucia,,Conch,,,,
2000,LACLCA,Saint Lucia,588,Dolphin,,,,
2000,LACLCA,Saint Lucia,234,Flying Fish,,,,
2000,LACLCA,Saint Lucia,,Lobster,,,,
2000,LACLCA,Saint Lucia,386,Other fish types,,,,
2000,LACLCA,Saint Lucia,5,Shark,,,,
2000,LACLCA,Saint Lucia,1860,Total,,,,
2000,LACLCA,Saint Lucia,473,Tuna,,,,
2000,LACLCA,Saint Lucia,250,Wahoo/ King Fish,,,,
2001,LACLCA,Saint Lucia,41,Conch,,,,
2001,LACLCA,Saint Lucia,427,Dolphin,,,,
2001,LACLCA,Saint Lucia,323,Flying Fish,,,,
2001,LACLCA,Saint Lucia,36,Lobster,,,,
2001,LACLCA,Saint Lucia,517,Other fish types,,,,
2001,LACLCA,Saint Lucia,5,Shark,,,,
2001,LACLCA,Saint Lucia,"1,967",Total,,,,
2001,LACLCA,Saint Lucia,404,Tuna,,,,
2001,LACLCA,Saint Lucia,214,Wahoo/ King Fish,,,,
2002,LACLCA,Saint Lucia,31,Conch,,,,
2002,LACLCA,Saint Lucia,373,Dolphin,,,,
2002,LACLCA,Saint Lucia,170,Flying Fish,,,,
2002,LACLCA,Saint Lucia,58,Lobster,,,,
2002,LACLCA,Saint Lucia,449,Other fish types,,,,
2002,LACLCA,Saint Lucia,66,Shark,,,,
2002,LACLCA,Saint Lucia,"1,604",Total,,,,
2002,LACLCA,Saint Lucia,219,Tuna,,,,
2002,LACLCA,Saint Lucia,246,Wahoo/ King Fish,,,,
2003,LACLCA,Saint Lucia,60,Conch,,,,
2003,LACLCA,Saint Lucia,304,Dolphin,,,,
2003,LACLCA,Saint Lucia,75,Flying Fish,,,,
2003,LACLCA,Saint Lucia,23,Lobster,,,,
2003,LACLCA,Saint Lucia,406,Other fish types,,,,
2003,LACLCA,Saint Lucia,5,Shark,,,,
2003,LACLCA,Saint Lucia,"1,528",Total,,,,
2003,LACLCA,Saint Lucia,487,Tuna,,,,
2003,LACLCA,Saint Lucia,170,Wahoo/ King Fish,,,,
2004,LACLCA,Saint Lucia,46,Conch,,,,
2004,LACLCA,Saint Lucia,376,Dolphin,,,,
2004,LACLCA,Saint Lucia,11,Flying Fish,,,,
2004,LACLCA,Saint Lucia,11,Lobster,,,,
2004,LACLCA,Saint Lucia,362,Other fish types,,,,
2004,LACLCA,Saint Lucia,20,Shark,,,,
2004,LACLCA,Saint Lucia,"1,483",Total,,,,
2004,LACLCA,Saint Lucia,419,Tuna,,,,
2004,LACLCA,Saint Lucia,238,Wahoo/ King Fish,,,,
2005,LACLCA,Saint Lucia,42,Conch,,,,
2005,LACLCA,Saint Lucia,198,Dolphin,,,,
2005,LACLCA,Saint Lucia,71,Flying Fish,,,,
2005,LACLCA,Saint Lucia,15,Lobster,,,,
2005,LACLCA,Saint Lucia,323,Other fish types,,,,
2005,LACLCA,Saint Lucia,12,Shark,,,,
2005,LACLCA,Saint Lucia,"1,296",Total,,,,
2005,LACLCA,Saint Lucia,466,Tuna,,,,
2005,LACLCA,Saint Lucia,169,Wahoo/ King Fish,,,,
2006,LACLCA,Saint Lucia,35,Conch,,,,
2006,LACLCA,Saint Lucia,382,Dolphin,,,,
2006,LACLCA,Saint Lucia,30,Flying Fish,,,,
2006,LACLCA,Saint Lucia,9,Lobster,,,,
2006,LACLCA,Saint Lucia,381,Other fish types,,,,
2006,LACLCA,Saint Lucia,7,Shark,,,,
2006,LACLCA,Saint Lucia,"1,441",Total,,,,
2006,LACLCA,Saint Lucia,410,Tuna,,,,
2006,LACLCA,Saint Lucia,187,Wahoo/ King Fish,,,,
2007,LACLCA,Saint Lucia,41,Conch,,,,
2007,LACLCA,Saint Lucia,512,Dolphin,,,,
2007,LACLCA,Saint Lucia,46,Flying Fish,,,,
2007,LACLCA,Saint Lucia,13,Lobster,,,,
2007,LACLCA,Saint Lucia,353,Other fish types,,,,
2007,LACLCA,Saint Lucia,5,Shark,,,,
2007,LACLCA,Saint Lucia,"1,509",Total,,,,
2007,LACLCA,Saint Lucia,328,Tuna,,,,
