GeoJSON,FID,Latitude,Longitude,BASE_STATI,2000_tot,2001_tot,2002_tot,2003_tot,2004_tot,2006_tot,2007_tot,2008_tot,2009_tot,2010_tot,2005_tot,Rain_Av
"{""coordinates"": [-61.00035192297749, 14.024017850187535], ""type"": ""Point""}",Met_stations.1,14.0225,-60.99972,Vigie Airport,1950.8,1750,1739.8,1594.6,2259.8,1890.7,1568.2,2220.5,1491.2,2693.6,2242.9,1787.4818
"{""coordinates"": [-60.952129721931456, 13.74043080687632], ""type"": ""Point""}",Met_stations.2,13.73889,-60.9515,Hewanorra Base Station,1441.1,1151.3,1328.5,1108.9,1760.9,1240,1477.6,1610.9,1388.9,2463.1,1855.5,1408.9273
"{""coordinates"": [-61.04527302330332, 13.937604683853419], ""type"": ""Point""}",Met_stations.3,13.93608,-61.04464,Anse La Raye #1,1937.6,1321.2,1263.4,1141.6,2058.4,1663.4,1446.3,1820.2,1319.6,1785.6,2128.4,1511.1182
"{""coordinates"": [-60.94924830566708, 14.065242148083742], ""type"": ""Point""}",Met_stations.4,13.91161,-61.00575,Rodney Bay,1676.8,732.8,1237.9,1147.9,1824.6,1342.4,1624.9,1489.1,998.4,0,1990.7,1166.1455
"{""coordinates"": [-60.92592937637011, 13.901917864973848], ""type"": ""Point""}",Met_stations.5,13.90039,-60.9253,Errard Estate,2086.5,1667.4,2020.3,1688,2796.4,0,920,1236,759,0,3114.1,1297.0364
"{""coordinates"": [-60.957960404250024, 13.92955555803111], ""type"": ""Point""}",Met_stations.6,13.92803,-60.95733,Barre de LIsle,2245.3,1635.8,2245.3,1589.6,2212.9,2214.4,2252.8,2602.3,2161.8,0,2548,1769.3545
"{""coordinates"": [-60.96919033677541, 13.780647521219208], ""type"": ""Point""}",Met_stations.7,13.77911,-60.96856,Grace,821.2,914.2,455,1492.4,2490,1240,1942.6,2123.4,1826,0,1714.2,1324
"{""coordinates"": [-60.998331367576576, 13.841752522817028], ""type"": ""Point""}",Met_stations.8,13.84022,-60.9977,Edmund Forest,3806.4,2623.4,3070.8,2917.8,4124.4,2273.6,2391.4,2736.2,2156.3,0,3891.2,2447.3364
"{""coordinates"": [-60.95333003525949, 13.843972459833811], ""type"": ""Point""}",Met_stations.9,13.84244,-60.9527,Mahaut,2716.9,1941.9,2619.1,2210.5,2869.8,2317.7,2496,2569.4,2230.5,0,3029.9,2034.7818
"{""coordinates"": [-60.91040266710586, 13.869932130119162], ""type"": ""Point""}",Met_stations.10,13.97892,-60.96497,Mamiku,1329.4,1841,1311.5,1471.8,1391.7,2104.7,2274.4,0,0,0,0,946.6364
