	ISO_country	Cruise_ID	Latitude	Longitude	Year	Month	Day	Time	WOD_unique	depth(m)	qc_flag	Temp	qc_flag.1	Sal	qc_flag.2	Oxy	qc_flag.3	Phos	qc_flag.4	dum5	qc_flag.5	Sil	qc_flag.6	dum7	qc_flag.7	NO3	qc_flag.8	pH	qc_flag.9	dum10	qc_flag.10	Chl	qc_flag.11	dum12	qc_flag.12	dum13	qc_flag.13	dum14	qc_flag.14	dum15	qc_flag.15	dum16	qc_flag.16	Alk	qc_flag.17	dum18	qc_flag.18	dum19	qc_flag.19	pCO2	qc_flag.20	DIC	qc_flag.21	dum22	qc_flag.22	dum23	qc_flag.23	BAC	qc_flag.24	dum25	qc_flag.25	dum26	qc_flag.26	dum27	qc_flag.27	dum28	qc_flag.28	dum29	qc_flag.29	dum30	qc_flag.30	dum31	qc_flag.31	dum32	qc_flag.32	Trit	qc_flag.33	He	qc_flag.34	dHE3	qc_flag.35	dC14	qc_flag.36	dC13	qc_flag.37	Arg	qc_flag.38	Neo	qc_flag.39	CFC11	qc_flag.40	CFC12	qc_flag.41	CFC113	qc_flag.42	O18	qc_flag.43
0	US	32951	13.567	-61.067	1887	12	4		13575254	514	0	8.89	0																																																																																				
1	DK	8	13.78	-61.43	1921	11	24	14	19976	0	0	27.79	0	35.43	0	-99.99	0																																																																																
2	DK	8	13.78	-61.43	1921	11	24	14	19976	25	0	27.66	0	35.43	0	198	0																																																																																
3	DK	8	13.78	-61.43	1921	11	24	14	19976	50	0	27.25	0	35.83	0	197	0																																																																																
4	DK	8	13.78	-61.43	1921	11	24	14	19976	75	0	24.94	0	36.77	0	196	0																																																																																
5	DK	8	13.78	-61.43	1921	11	24	14	19976	100	0	22.51	0	36.88	0	172	0																																																																																
6	DK	8	13.78	-61.43	1921	11	24	14	19976	125	0	21.39	0	36.79	0	165	0																																																																																
7	DK	8	13.78	-61.43	1921	11	24	14	19976	150	0	18.75	0	36.51	0	152	0																																																																																
8	DK	8	13.78	-61.43	1921	11	24	14	19976	200	0	16.41	0	36.18	0	157	0																																																																																
9	DK	8	13.78	-61.43	1921	11	24	14	19976	250	0	14.12	0	35.73	0	121	0																																																																																
10	DK	8	13.78	-61.43	1921	11	24	14	19976	300	0	11.67	0	35.35	0	99.8	0																																																																																
11	DK	8	13.78	-61.43	1921	11	24	14	19976	400	0	9.37	0	34.99	0	119	0																																																																																
12	DK	8	13.78	-61.43	1921	11	24	14	19976	500	0	7.58	0	34.76	0	118	0																																																																																
13	DK	8	13.78	-61.43	1921	11	24	14	19976	600	0	6.54	0	34.68	0	124	0																																																																																
14	DK	8	13.78	-61.43	1921	11	24	14	19976	800	0	5.71	0	34.7	0	137	0																																																																																
15	DK	8	13.78	-61.43	1921	11	24	14	19976	1000	0	4.81	0	34.85	0	173	0																																																																																
16	DK	8	13.78	-61.43	1921	11	24	14	19976	1200	0	4.35	0	34.91	0	185	0																																																																																
17	DK	8	13.78	-61.43	1921	11	24	14	19976	1500	0	4.17	0	34.93	0	197	0																																																																																
18	DK	8	13.78	-61.43	1921	11	24	14	19976	1800	0	4.1	0	34.93	0	203	0																																																																																
19	DK	8	13.78	-61.43	1921	11	24	14	19976	2000	0	4.1	0	34.93	0	200	0																																																																																
20	DK	8	13.78	-61.43	1921	11	24	14	19976	2200	0	4.11	0	34.93	0	199	0																																																																																
21	DK	8	13.78	-61.43	1921	11	24	14	19976	2500	0	4.14	0	34.94	0	195	0																																																																																
22	DK	8	13.78	-61.43	1921	11	24	14	19976	2800	0	4.16	0	34.93	0	201	0																																																																																
23	GB	12818	14.2	-60.57	1926	5	21		13665317	0	0	27.2	0	35.17	0																																																																																		
24	GB	12818	14.2	-60.57	1926	5	21		13665317	5	0	27.43	0	35.23	0																																																																																		
25	GB	12818	14.2	-60.57	1926	5	21		13665317	10	0	27.42	0	35.23	0																																																																																		
26	GB	12818	14.2	-60.57	1926	5	21		13665317	20	0	27.42	0	35.32	0																																																																																		
27	GB	12818	14.2	-60.57	1926	5	21		13665317	30	0	27.41	0	35.35	0																																																																																		
28	GB	12818	14.2	-60.57	1926	5	21		13665317	50	0	27.05	0	36.15	0																																																																																		
29	GB	12818	14.2	-60.57	1926	5	21		13665317	75	0	26.6	0	36	0																																																																																		
30	GB	12818	14.2	-60.57	1926	5	21		13665317	100	0	26.28	0	36.17	0																																																																																		
31	GB	12818	14.2	-60.57	1926	5	21		13665317	150	0	20.82	0	36.73	0																																																																																		
32	GB	12818	14.2	-60.57	1926	5	21		13665317	200	0	16.3	0	36.3	0																																																																																		
33	GB	12822	13.9	-61.12	1930	3	27		13665520	0	0	25.8	0	35.71	0																																																																																		
34	GB	12822	13.9	-61.12	1930	3	27		13665520	5	0	25.75	0	35.7	0																																																																																		
35	GB	12822	13.9	-61.12	1930	3	27		13665520	10	0	25.65	0	35.71	0																																																																																		
36	GB	12822	13.9	-61.12	1930	3	27		13665520	20	0	25.7	0	35.93	0																																																																																		
37	GB	12822	13.9	-61.12	1930	3	27		13665520	30	0	25.3	0	35.91	0																																																																																		
38	GB	12822	13.9	-61.12	1930	3	27		13665520	50	0	25.3	0	35.91	0																																																																																		
39	GB	12822	13.9	-61.12	1930	3	27		13665520	75	0	24.2	0	35.96	0																																																																																		
40	GB	12822	13.9	-61.12	1930	3	27		13665520	100	0	20.8	0	36.15	0																																																																																		
41	GB	12822	13.9	-61.12	1930	3	27		13665520	150	0	15.8	0	35.88	0																																																																																		
42	GB	12822	13.9	-61.12	1930	3	27		13665520	200	0	14.7	0	35.71	0																																																																																		
43	GB	12828	13.63	-61.5	1934	6	29		13665988	0	0	27.32	0	34.1	0																																																																																		
44	GB	12828	13.63	-61.5	1934	6	29		13665988	5	0	27.33	0	34.09	0																																																																																		
45	GB	12828	13.63	-61.5	1934	6	29		13665988	10	0	27.3	0	34.09	0																																																																																		
46	GB	12828	13.63	-61.5	1934	6	29		13665988	15	0	27.28	0	34.11	0																																																																																		
47	GB	12828	13.63	-61.5	1934	6	29		13665988	20	0	27.26	0	34.22	0																																																																																		
48	GB	12828	13.63	-61.5	1934	6	29		13665988	30	0	27.31	0	34.14	0																																																																																		
49	GB	12828	13.63	-61.5	1934	6	29		13665988	50	0	27.21	0	35.5	0																																																																																		
50	GB	12828	13.63	-61.5	1934	6	29		13665988	75	0	26.02	0	35.89	0																																																																																		
51	GB	12828	13.63	-61.5	1934	6	29		13665988	100	0	23.83	0	-99.99	0																																																																																		
52	GB	12828	13.63	-61.5	1934	6	29		13665988	150	0	17.43	0	36.3	0																																																																																		
53	GB	12828	13.63	-61.5	1934	6	29		13665988	200	0	14.82	0	36.09	0																																																																																		
54	GB	12829	13.55	-61.02	1935	11	3		13666040	0	0	27.69	0	34.67	0																																																																																		
55	GB	12829	13.55	-61.02	1935	11	3		13666040	10	0	27.69	0	34.68	0																																																																																		
56	GB	12829	13.55	-61.02	1935	11	3		13666040	25	0	27.74	0	35.41	0																																																																																		
57	GB	12829	13.55	-61.02	1935	11	3		13666040	50	0	25.66	0	36.21	0																																																																																		
58	GB	12829	13.55	-61.02	1935	11	3		13666040	75	0	24.54	0	36.44	0																																																																																		
59	GB	12829	13.55	-61.02	1935	11	3		13666040	100	0	23.46	0	36.53	0																																																																																		
60	GB	12829	13.55	-61.02	1935	11	3		13666040	150	0	20.59	0	36.77	0																																																																																		
61	GB	12829	13.55	-61.02	1935	11	3		13666040	200	0	16.24	0	36.06	0																																																																																		
62	GB	12829	13.95	-61.18	1935	11	3		13666041	0	0	27.9	0	34.59	0																																																																																		
